Property Melting Point,Property Density,Property Boiling Point,Property Solubility,Property Molar Mass,Name,formula
169-170,,,,,Naringin dihydrochalcone,C$_{27}$H$_{34}$O$_{14}$
,,,,,Nebracetam,C$_{12}$H$_{16}$N$_{2}$O
97.5,,,,436.69,Gold(III) bromide,AuBr$_{3}$
152-155,,,,,Tris(dibenzylideneacetone)dipalladium(0),C$_{51}$H$_{42}$O$_{3}$Pd$_{2}$
,,,,,Tribenoside,C$_{29}$H$_{34}$O$_{6}$
,,,,,Zicronapine,C$_{22}$H$_{27}$N$_{2}$Cl
,,,,,BD1067,C$_{16}$H$_{24}$N$_{2}$Cl$_{2}$
21,0.813,364,Insoluble,267.493,Oleylamine,C$_{18}$H$_{37}$N
1533,3.43,,,,Lithium titanate,Li$_{2}$TiO$_{3}$
,,,,,Zylofuramine,C$_{14}$H$_{21}$NO
89,,,,,Dihydroxyacetone,C$_{3}$H$_{6}$O$_{3}$
,,,,,Butriptyline,C$_{21}$H$_{27}$N
,,,,,Tuclazepam,C$_{17}$H$_{16}$Cl$_{2}$N$_{2}$O
27,,182,insol.,,Benzoxazole,C$_{7}$H$_{5}$NO
,,,,,Vesnarinone,C$_{22}$H$_{25}$N$_{3}$O$_{4}$
,,,Degrades in Water to form Sn(IV),,Tin(II) 2-ethylhexanoate,C$_{16}$H$_{30}$O$_{4}$Sn
,,,,,Sofosbuvir,C$_{22}$H$_{29}$FN$_{3}$O$_{9}$P
-37,,76,10,,Perfluoromethylcyclohexane,C$_{7}$F$_{14}$
,,,,,Glymidine sodium,
,,533,,326.343,Geiparvarin,C$_{19}$H$_{18}$O$_{5}$
,,,,,Pempidine,C$_{10}$H$_{21}$N
,,,,,Adinazolam,C$_{19}$H$_{18}$ClN$_{5}$
-175,,-46,,,Fluorine nitrate,FNO$_{3}$
,,,,,Tetrahydrocannabinol,C$_{21}$H$_{30}$O$_{2}$
,,,,,Ardeparin sodium,
,,,,,Febuxostat,C$_{16}$H$_{16}$N$_{2}$NaO$_{3}$S
,,,,,DCPG,C$_{10}$H$_{9}$NO$_{6}$
68-69,,269-270,,169.26,Lupinine,C$_{10}$H$_{19}$NO
,,,,,Diltiazem,C$_{22}$H$_{26}$N$_{2}$O$_{4}$S
,,,,,Midazolam,C$_{18}$H$_{13}$ClFN$_{3}$
,,,,,Trioxidane,H$_{2}$O$_{3}$
-12.9,1.1132,197.3,Miscible,,Ethylene glycol,C$_{2}$H$_{6}$O$_{2}$
,,,,,Cotriptyline,C$_{20}$H$_{21}$NO
,,,,,Fluperolone acetate,
-59,,11,8,,Chlorine dioxide,ClO$_{2}$
,,,,,MK-2048,C$_{21}$H$_{21}$ClFN$_{5}$O$_{4}$
-17,1.15,204-207,slightly soluble,144.13,Dimethyl maleate,C$_{6}$H$_{8}$O$_{4}$
1630,6.95,1800-1900,Insoluble,,Tin dioxide,SnO$_{2}$
,,,,,RPL-554,C$_{26}$H$_{31}$N$_{5}$O$_{4}$
300,,,1510,,Molybdic acid,MoO$_{3}$.H$_{2}$O
,,,,,Diodone,C$_{7}$H$_{5}$I$_{2}$NO$_{3}$
,,,,,Etofenamate,C$_{18}$H$_{18}$F$_{3}$NO$_{4}$
,,,,,Cisatracurium besilate,
,,139.4-139.8,,,Stigmastanol,C$_{29}$H$_{52}$O
decomposes to Na$_{2}$S$_{2}$O$_{7}$ (+ H$_{2}$O) at 197,2.245,300,36.6,136.169,Potassium bisulfate,KHSO$_{4}$
,,,,,Anastrozole,C$_{17}$H$_{19}$N$_{5}$
,,,,,Vandetanib,C$_{22}$H$_{24}$BrFN$_{4}$O$_{2}$
,,,,,Cyclohexyl nitrite,
,,,,,UWA-101,C$_{13}$H$_{17}$NO$_{2}$
131,1.29,,,104.15,Cubane,C$_{8}$H$_{8}$
175,,245,,,Manganocene,C$_{10}$H$_{10}$Mn
,,,,,L-Deoxyribose,C$_{5}$H$_{10}$O$_{4}$
245-250,,,,925.22,Wilkinson's catalyst,C$_{54}$H$_{45}$ClP$_{3}$Rh
,,,,,Cefuzonam,C$_{16}$H$_{15}$N$_{7}$O$_{5}$S$_{4}$
2,1.133,210,Miscible,45.04,Formamide,CH$_{3}$NO
72,,,,270.72,Nitenpyram,C$_{11}$H$_{15}$ClN$_{4}$O$_{2}$
,,,,,Cyclophosphamide,C$_{7}$H$_{15}$Cl$_{2}$N$_{2}$O$_{2}$P
,,,,,Omalizumab,C$_{6450}$H$_{9916}$N$_{1714}$O$_{2023}$S$_{38}$
,,,,,Nortetrazepam,C$_{15}$H$_{15}$ClN$_{2}$O
,,,,,Perazine,C$_{20}$H$_{25}$N$_{3}$S
,,,,,RCS-4,C$_{21}$H$_{23}$NO$_{2}$
,,,,,Ranitidine,C$_{13}$H$_{22}$N$_{4}$O$_{3}$S
230-233,,,,,Dicyclohexylurea,C$_{13}$H$_{24}$N$_{2}$O
,,,,,Troleandomycin,C$_{41}$H$_{67}$NO$_{15}$
,,,,,Trimebutine,C$_{22}$H$_{29}$NO$_{5}$
240-245,,,,,Ellman's reagent,C$_{14}$H$_{8}$N$_{2}$O$_{8}$S$_{2}$
700,4.88,,insoluble,225.75,Molybdenum(II) bromide,MoBr$_{2}$
-34,1.05,211,,,Ethyl benzoate,C$_{9}$H$_{10}$O$_{2}$
,,15.3,7.18,,Pentafluoropropane,C$_{3}$H$_{3}$F$_{5}$
130-131,0.972,527,Insoluble in water,,Docosanedioic acid,C$_{22}$H$_{42}$O$_{4}$
,,,,378.49,Zinterol,C$_{19}$H$_{26}$N$_{2}$O$_{4}$S
,,,,,Amlodipine,C$_{20}$H$_{25}$ClN$_{2}$O$_{5}$
,,,,,Mafenide,C$_{7}$H$_{10}$N$_{2}$O$_{2}$S
,,,,,Slaframine,C$_{10}$H$_{18}$N$_{2}$O$_{2}$
,,,,,Dibunate,C$_{18}$H$_{24}$O$_{3}$S
,,,,,Lysergic acid hydroxyethylamide,
,,,,,Hydroxytertatolol,C$_{16}$H$_{25}$NO$_{3}$S
,,,,,Viniferal,C$_{35}$H$_{26}$O$_{8}$
,,,,,Androstenone,C$_{19}$H$_{28}$O
,,,,984.18,Adrenorphin,C$_{44}$H$_{69}$N$_{15}$O$_{9}$S
,,,,382.66,Stearyl heptanoate,C$_{25}$H$_{50}$O$_{2}$
-98,,65,,,Deuterated methanol,C$_{2}$D$_{4}$O
-45,,180.8,2.86,130.14,Ethyl acetoacetate,C$_{6}$H$_{10}$O$_{3}$
2930,5.22,,insoluble,61.874,Titanium nitride,TiN
,,,,,Imipramine,C$_{19}$H$_{24}$N$_{2}$
,,,,341.49,Pregnenolone carbonitrile,C$_{22}$H$_{31}$NO$_{2}$
-23.4,0.77,131.5,12,,Hexylamine,C$_{6}$H$_{15}$N
185,,,5,,Cyclam,C$_{10}$H$_{24}$N$_{4}$
,,,,313.781,Salinosporamide A,C$_{15}$H$_{20}$ClNO$_{4}$
,,,,,Triflusal,C$_{10}$H$_{7}$F$_{3}$O$_{4}$
127-129,,245,pH dependent,,Dodecanedioic acid,C$_{12}$H$_{22}$O$_{4}$
,1.65,,,,Buckminsterfullerene,C$_{60}$
,,,,,Diphosphene,P$_{2}$H$_{2}$
,,,,,Ampelopsin,C$_{15}$H$_{12}$O$_{8}$
,,,,,Sodium oxybate,
,,,,,Linagliptin,C$_{25}$H$_{28}$N$_{8}$O$_{2}$
,,,,,Citrate,C$_{6}$H$_{5}$O$^{3-}_{7}$
,,,,222.366,Carotol,C$_{15}$H$_{26}$O
,,,"insoluble, moisture sensitive",,Molybdocene dichloride,C$_{10}$H$_{10}$Cl$_{2}$Mo
,,,,329.206,Cyclic adenosine monophosphate,C$_{10}$H$_{12}$N$_{5}$O$_{6}$P
-70,,-20,,,Iron tetracarbonyl hydride,FeC$_{4}$H$_{2}$O$_{4}$
,,,,4091.86,Slotoxin,C$_{177}$H$_{281}$N$_{47}$O$_{50}$S$_{7}$
-96,,75,,122.95,Acetyl bromide,C$_{2}$H$_{3}$BrO
184,,,very soluble,,Muscimol,C$_{4}$H$_{6}$N$_{2}$O$_{2}$
,,,,,Lormetazepam,C$_{16}$H$_{12}$Cl$_{2}$N$_{2}$O$_{2}$
125,,,organic solvents,,Salen ligand,C$_{16}$H$_{16}$N$_{2}$O$_{2}$
,,,,,Metocurine,C$_{40}$H$_{48}$N$_{2}$O$_{6}$
,,,,,Etohexadiol,C$_{8}$H$_{18}$O$_{2}$
52.5,1.55,243,,,Mequinol,C$_{7}$H$_{8}$O$_{2}$
380,3.065,,0.289,443.87,Ammonium hexachloroplatinate,(NH$_{4}$)$_{2}$PtCl$_{6}$
,,,,,Cefdinir,C$_{14}$H$_{13}$N$_{5}$O$_{5}$S$_{2}$
,,,,,Urobilin,C$_{33}$H$_{42}$N$_{4}$O$_{6}$
,,,,,Dipotassium cyclooctatetraenide,C$_{8}$H$_{8}$K$_{2}$
,,,,,Lenvatinib,C$_{21}$H$_{19}$ClN$_{4}$O$_{4}$
,,,,,Streptolydigin,C$_{32}$H$_{44}$N$_{2}$O$_{9}$
,,,,,Acetylglycinamide chloral hydrate,
240,,,,,Suosan,C$_{10}$H$_{10}$N$_{3}$NaO$_{5}$
,,,,,Ditran,C$_{20}$H$_{29}$NO$_{3}$
,,,not soluble in water,,Polyvinylidene fluoride,C$_{4}$H$_{5}$NOS
230-231,1.2317,,Sparingly soluble,350.45,Andrographolide,C$_{20}$H$_{30}$O$_{5}$
20,,123,,,Pyrimidine,C$_{4}$H$_{4}$N$_{2}$
,,,,592.68,Pheophorbide A,C$_{35}$H$_{36}$N$_{4}$O$_{5}$
,,,,,Ribose 5-phosphate,C$_{5}$H$_{11}$O$_{8}$P
,,,,460.69,Food orange 7,C$_{32}$H$_{44}$O$_{2}$
,,,,,Trichostatin A,
,,,,,Apaziquone,C$_{15}$H$_{16}$N$_{2}$O$_{4}$
,,,,,Phycourobilin,C$_{33}$H$_{42}$N$_{4}$O$_{6}$
,,,,,Lactulose,C$_{12}$H$_{22}$O
-75,1.032,305,Insoluble,,Butyrin,C$_{15}$H$_{26}$O$_{6}$
179,,,25,318.678,Mercury(II) acetate,C$_{4}$H$_{6}$O$_{4}$Hg
,,,,,Berbamine,C$_{37}$H$_{40}$N$_{2}$O$_{6}$
,,,,,Temozolomide,C$_{6}$H$_{6}$N$_{6}$O$_{2}$
,,,,,Levophacetoperane,C$_{14}$H$_{19}$NO$_{2}$
656,,1425,,291.518,Antimony trioxide,Sb$_{2}$O$_{3}$
,,,,,Vardenafil,C$_{23}$H$_{32}$N$_{6}$O$_{4}$S
194-197,,,700,,Chloramben,C$_{7}$H$_{5}$Cl$_{2}$NO$_{2}$
,,,,867.6,Benzoyl-CoA,C$_{28}$H$_{36}$N$_{7}$O$_{17}$P$_{3}$S$^{-4}$
,,,,866.74,Procyanidin C2,C$_{45}$H$_{38}$O$_{18}$
1001,3.55,,anhydrous,129.5994,Nickel(II) chloride,NiCl$_{2}$
,,,,,Metipranolol,C$_{17}$H$_{27}$NO$_{4}$
,,,,,VER-3323,C$_{11}$H$_{15}$BrN$_{2}$
111-116,,,13.6,,Methyl yellow,C$_{14}$H$_{15}$N$_{3}$
1326,6.315,2000,insoluble,79.545,Copper(II) oxide,CuO
,,,,,Telenzepine,C$_{19}$H$_{22}$N$_{4}$O$_{2}$S
,,,,,Methyl orange,C$_{14}$H$_{14}$N$_{3}$NaO$_{3}$S
127,0.774,347-348,Almost insoluble,245.32,Triphenylamine,C$_{18}$H$_{15}$N
,,,,,Rofecoxib,C$_{17}$H$_{14}$O$_{4}$S
75.5,,,,,Phenadoxone,C$_{23}$H$_{29}$NO$_{2}$
,,,,,Levetiracetam,C$_{8}$H$_{14}$N$_{2}$O$_{2}$
,,,,,Suxibuzone,C$_{24}$H$_{26}$N$_{2}$O$_{6}$
,,,,,SCH-5472,C$_{19}$H$_{23}$NO
,,,,,Talnetant,C$_{25}$H$_{22}$N$_{2}$O$_{2}$
110.0-110.5,,290,Miscible,124.13,Orcinol,C$_{7}$H$_{8}$O$_{2}$
,,,,,CP 47 497,
168,1.35,,,192.17,Quinic acid,C$_{7}$H$_{12}$O$_{6}$
292,2.907,,4320,136.315,Zinc chloride,ZnCl$_{2}$
,,,,246.302,Irofulven,C$_{15}$H$_{18}$O$_{3}$
,,,,,Aniracetam,C$_{12}$H$_{13}$NO$_{3}$
,,,,,Levoglucosan,C$_{6}$H$_{10}$O$_{5}$
,,,,,Guanabenz,C$_{8}$H$_{8}$Cl$_{2}$N$_{4}$
,,,,148.07,Tartrate,C$_{4}$H$_{4}$O$^{2-}_{6}$
127.6-129,,,241g/100mL,90.39,Lithium chlorate,LiClO$_{3}$
162,,,,,Thiosalicylic acid,C$_{7}$H$_{6}$O$_{2}$S
,,,,,Ebrotidine,C$_{14}$H$_{17}$BrN$_{6}$O$_{2}$S$_{3}$
99.3-101.5,,,Slightly soluble,,Advantame,C$_{24}$H$_{30}$N$_{2}$O$_{7}$
,,,,,RI-1(RAD51 inhibitor II),C$_{14}$H$_{11}$Cl$_{3}$N$_{2}$O$_{3}$
-47,,155,,88.11,Isobutyric acid,C$_{4}$H$_{8}$O$_{2}$
,,,,,Sulfaperin,C$_{11}$H$_{12}$N$_{4}$O$_{2}$S
,,,,,Vinbarbital,C$_{11}$H$_{16}$N$_{2}$O$_{3}$
,,,,520.15,JZL184,C$_{27}$H$_{24}$N$_{2}$O$_{9}$
40,,128,Slightly soluble,,MPTP,C$_{12}$H$_{15}$N
,,,,,Anabasine,C$_{10}$H$_{14}$N$_{2}$
,,,,,A-Methylacetylfentanyl,C$_{22}$H$_{28}$N$_{2}$O
,,,,,Silver sulfadiazine,
,0.874,207,,,Pentyl pentanoate,C$_{10}$H$_{20}$O$_{2}$
-45,0.986,216,,,Triethylene glycol dimethyl ether,C$_{8}$O$_{4}$H$_{18}$
,,135,"soluble in water, ethanol, benzene, diethyl ether",102.089,Succinic semialdehyde,C$_{4}$H$_{6}$O$_{3}$
,,,,,Piretanide,C$_{17}$H$_{18}$N$_{2}$O$_{5}$S
,,,,,Moxaverine,C$_{20}$H$_{21}$NO$_{2}$
,,,,,GYKI-52895,C$_{17}$H$_{17}$N$_{3}$O$_{2}$
161-162,,113,> 1.5,112.06,Sodium lactate,C$_{3}$H$_{5}$NaO$_{3}$
,,,,,Medazepam,C$_{16}$H$_{15}$ClN$_{2}$
,,,,,Ropivacaine,C$_{17}$H$_{26}$N$_{2}$O
200,,,,147.1308,Isatin,C$_{8}$H$_{5}$NO$_{2}$
,,,,,Bremelanotide,C$_{29}$H$_{41}$NO$_{4}$
,,,,,Hexafluorotitanic acid,H$_{2}$TiF$_{6}$
,,,,,Catalpol,C$_{15}$H$_{22}$O$_{10}$
,1.88,158-160,,,Diethyl sulfite,C$_{4}$H$_{10}$O$_{3}$S
,,,,,Azanidazole,C$_{10}$H$_{10}$N$_{6}$O$_{2}$
,,,,,AM-2233,C$_{22}$H$_{23}$IN$_{2}$O
,,,,,Litracen,C$_{20}$H$_{23}$N
sublimes 543,5.3,,,,Niobium pentaiodide,Nb$_{2}$I$_{10}$
,,,,,Meticrane,chemical_formulaC10H13NO4S2
,,,,,Oxetacaine,C$_{28}$H$_{41}$N$_{3}$O$_{3}$
,,,,,Porphobilinogen,C$_{10}$H$_{14}$N$_{2}$O$_{4}$
962,3.856,1560,31.2,208.23,Barium chloride,BaCl$_{2}$
1872,,,negligible,441.893,Tantalum pentoxide,Ta$_{2}$O$_{5}$
,,,,,Edrophonium,C10H16NO1charge+
106,1.10-1.12,215,202,,Methacrylamide,C$_{4}$H$_{7}$NO
,,,,,AI-10-49,C$_{30}$H$_{22}$F$_{6}$N$_{6}$O$_{5}$
56.7,2.05,136.7,243,182.703,Nickel(II) nitrate,Ni(NO$_{3}$)$_{2}$
,,,,,Shamixanthone,C$_{25}$H$_{26}$O$_{5}$
,,,,,Dofetilide,C$_{19}$H$_{27}$N$_{3}$O$_{5}$S$_{2}$
-73,0.87,89,4.3,,Isopropyl acetate,C$_{5}$H$_{10}$O$_{2}$
-51,0.9715,114,miscible,,Propargyl alcohol,C$_{3}$H$_{4}$O
,,,,,Ethyl azide,C$_{2}$H$_{5}$N$_{3}$
,,,soluble,,Benzil,C$_{14}$H$_{10}$O$_{2}$
-48.8,1.205,242,Very soluble,,Propylene carbonate,C$_{4}$H$_{6}$O$_{3}$
127,,,,,Bemegride,C$_{8}$H$_{13}$NO$_{2}$
116-119,,,,204.36,Tetrathiafulvalene,C$_{6}$H$_{4}$S$_{4}$
-65,,40,,,Trifluoroacetic anhydride,C$_{4}$F$_{6}$O$_{3}$
,,,,251.33,Cyclopropylmescaline,C$_{14}$H$_{21}$NO$_{3}$
,,,,,Rivanicline,C$_{10}$H$_{14}$N$_{2}$
220,,,39.7,,Hydantoin,C$_{3}$H$_{4}$N$_{2}$O$_{2}$
320,1.55,,,111.1,Cytosine,C$_{4}$H$_{5}$N$_{3}$O
,,,,,Gabazine,C$_{15}$H$_{18}$BrN$_{3}$O$_{3}$
-205.02,,-191.5,27.6,28.01,Carbon monoxide,CO
120,,,0.085,498.4334,Calcium citrate,Ca$_{3}$(C$_{6}$H$_{5}$O$_{7}$)$_{2}$
,,,,,Aplaviroc,C$_{33}$H$_{43}$N$_{3}$O$_{6}$
,,,,271.374,HOT-7,C$_{13}$H$_{21}$NO$_{3}$S
147,1.78,,Very soluble,115.11,Ammonium bisulfate,(NH$_{4}$)HSO$_{4}$
,,,,35.021,Fluoroamine,NH$_{2}$F
993,2.558,1704,,41.988173,Sodium fluoride,NaF
-43.7,,125.5,0.054,169.93,Carbon diselenide,CSe$_{2}$
,,,,,S-Adenosyl-L-homocysteine,C$_{14}$H$_{20}$N$_{6}$O$_{5}$S
212-215,,,Soluble,189.209,Castanospermine,C$_{8}$H$_{15}$NO$_{4}$
,,,,,Metopimazine,C$_{22}$H$_{27}$N$_{3}$O$_{3}$S$_{2}$
,,,,,Besonprodil,C$_{21}$H$_{23}$FN$_{2}$O$_{3}$S
1000,4.691,,anhydrous:   75,208.47,Cadmium sulfate,CdSO$_{4}$
,,,,,Tofacitinib,C$_{16}$H$_{20}$N$_{6}$O
-153,,-28,Insoluble,,Hexafluoropropylene,C$_{3}$F$_{6}$
900,,,insoluble,225.33,Zinc molybdate,ZnMoO$_{4}$
,,408.9,,,Elenolic acid,C$_{11}$H$_{14}$O$_{6}$
,,,,,Zolazepam,C$_{15}$H$_{15}$FN$_{4}$O
,,,,,Cefamandole,C$_{18}$H$_{18}$N$_{6}$O$_{5}$S$_{2}$
,,,,938.66,Nupharin A,C$_{41}$H$_{30}$O$_{26}$
-26,1.03,151,,,Ethyl lactate,C$_{5}$H$_{10}$O$_{3}$
,,,,,Lamotrigine,C$_{9}$H$_{7}$Cl$_{2}$N$_{5}$
,,,,,Calcipotriol,C$_{27}$H$_{40}$O$_{3}$
,,,,,Barakol,C$_{13}$H$_{12}$O$_{4}$
,,,,,Tigemonam,C$_{12}$H$_{15}$N$_{5}$O$_{9}$S$_{2}$
,1.7,50,,219,Vanadium hexacarbonyl,C$_{6}$O$_{6}$V
,,,,491.703,Lipstatin,C$_{29}$H$_{49}$NO$_{5}$
,1.98,,,464.13,Octanitrocubane,C$_{8}$N$_{8}$O$_{16}$
,,,,286.45,Ferruginol,C$_{20}$H$_{30}$O
,,,,,Famprofazone,C$_{24}$H$_{31}$N$_{3}$O
,,,,,Vapreotide,C$_{57}$H$_{70}$N$_{12}$O$_{9}$S$_{2}$
,,,,,Estrane,C$_{18}$H$_{30}$
33,,250,,134.17,Cinnamyl alcohol,C$_{9}$H$_{10}$O
520,,,,404.16,Samarium(II) iodide,SmI$_{2}$
,,,,,Metrizoic acid,
,,,,,Moclobemide,C$_{13}$H$_{17}$ClN$_{2}$O$_{2}$
1396,,2000,,,Plutonium(III) fluoride,F$_{3}$Pu
,,,,,Trimetazidine,C$_{14}$H$_{22}$N$_{2}$O$_{3}$
,,,,,Minoxidil,C$_{9}$H$_{15}$N$_{5}$O
,,,,,Mepivacaine,C$_{15}$H$_{22}$N$_{2}$O
,,,,,Granisetron,C$_{18}$H$_{24}$N$_{4}$O
,,,,,Thenyldiamine,C$_{14}$H$_{19}$N$_{3}$S
,,,,,Aluminium clofibrate,
1386,6.4,,insoluble,148.84,Cobalt(II) phosphide,Co$_{2}$P
,,,,,Allyl methyl sulfide,C$_{4}$H$_{8}$S
,,,,,AMG-41,C$_{25}$H$_{36}$O$_{2}$
,,,,,Filgrastim,C$_{845}$H$_{1343}$N$_{223}$O$_{243}$S$_{9}$
53-55,,,,,Dimethyl oxalate,C$_{4}$H$_{6}$O$_{4}$
,,,,376.45156,Mirfentanil,C$_{22}$H$_{24}$N$_{4}$O$_{2}$
,,,,,Cefprozil,C$_{18}$H$_{19}$N$_{3}$O$_{5}$S
,,,,,Fluorodopa,C$_{9}$H$_{10}$FNO$_{4}$
,,,,,Lisuride,C$_{20}$H$_{26}$N$_{4}$O
,,,,250.2,Diphlorethol,C$_{12}$H$_{10}$O$_{6}$
,,,,,AM-087,C$_{23}$H$_{33}$BrO$_{2}$
210,,,100,482.64,Brilliant Green (dye),C$_{27}$H$_{33}$N$_{2}$.HO$_{4}$S
,,,,,NEFA (drug),
,,,,742.52,Dieckol,C$_{36}$H$_{22}$O$_{18}$
,,,,,Preladenant,C$_{25}$H$_{29}$N$_{9}$O$_{3}$
,,,,,Victoria blue BO,C$_{33}$H$_{40}$N$_{3}$Cl(chloride)
,,,,,O-1812,C$_{26}$H$_{42}$N$_{2}$O$_{2}$
-91,0.72,12.5,,56.107,Cyclobutane,C$_{4}$H$_{8}$
276,5.43,304,3.6,271.52,Mercury(II) chloride,HgCl$_{2}$
215,,408.9,,180.16,Nitroacetanilide,C$_{8}$H$_{8}$N$_{2}$O$_{3}$
,,,,,Momordol,C$_{26}$H$_{48}$O$_{5}$
,,,,588.656,Cilengitide,C$_{27}$H$_{40}$N$_{8}$O$_{7}$
5-Apr,,121-122,organic solvents,,Tetramethyl orthosilicate,SiC$_{4}$H$_{12}$O$_{4}$
,,,,,JWH-307,C$_{26}$H$_{24}$FNO
,,17,,,Ethyl nitrite,C$_{2}$H$_{5}$NO$_{2}$
,,,,,Phosphate,PO$^{3-}_{4}$
,,,,,Fosfestrol,C$_{18}$H$_{22}$O$_{8}$P$_{2}$
,,,,,Bis-choline tetrathiomolybdate,
,,,,,Dioxygenyl hexafluoroplatinate,F$_{6}$O$_{2}$Pt
,,,,,Ditophal,C$_{12}$H$_{14}$O$_{2}$S$_{2}$
-88,,-17,,124.784,Stibine,SbH$_{3}$
,,104,,,Amyl nitrate,C$_{5}$H$_{11}$NO$_{3}$
,,,,71.0414,Pentazole,N$_{5}$H
211.0-215.0,,,,444.52,Difenacoum,C$_{31}$H$_{24}$O$_{3}$
,,,,,PNU-282 987,
,,,,,Pergolide,C$_{19}$H$_{26}$N$_{2}$S
61.29,,166.87,,,Thiomorpholine,C$_{4}$H$_{9}$NS
,,,,,Valnoctamide,C$_{8}$H$_{17}$NO
,1.009,,,,P-Menthane-3 8-diol,C$_{10}$H$_{20}$O$_{2}$
,,,,,Capecitabine,C$_{15}$H$_{22}$FN$_{3}$O$_{6}$
,,,,,EGLU,C$_{7}$H$_{13}$NO$_{4}$
,,,,,Oxibendazole,C$_{12}$H$_{15}$N$_{3}$O$_{3}$
,,,,,Cyclopenthiazide,C$_{13}$H$_{18}$ClN$_{3}$O$_{4}$S$_{2}$
,,,,611.73,Dihydroergocristine,C$_{35}$H$_{41}$N$_{5}$O$_{5}$
,,,,,Tetrandrine,C$_{38}$H$_{42}$N$_{2}$O$_{6}$
,,,,,SS220,C$_{13}$H$_{21}$NO
,,,,,Dianicline,C$_{13}$H$_{16}$N$_{2}$O
,,87,,314.336,DMCM,C$_{17}$H$_{18}$N$_{2}$O$_{4}$
49.2,,498.9,"Very soluble in xylene. Soluble in ethyl acetate, diethyl eter, cyclohexane, methanol. Insoluble in water (0.005 mg/l [20 $^{\circ}$C]).",449.85,Cyhalothrin,C$_{23}$H$_{19}$ClF$_{3}$NO$_{3}$
,,,,,Nylon 66,(C$_{12}$H$_{22}$N$_{2}$O$_{2}$)$_{n}$
,,,,,Cobimetinib,C$_{21}$H$_{21}$F$_{3}$IN$_{3}$O$_{2}$
,1.46,,0.08%  (25$^{\circ}$C),,Bromacil,C$_{9}$H$_{13}$BrN$_{2}$O$_{2}$
,,,,147.17,Daunosamine,C$_{6}$H$_{13}$NO$_{3}$
101,1.18,332,1.6,,Phenanthrene,C$_{14}$H$_{10}$
,,,,,Methdilazine,C$_{18}$H$_{20}$N$_{2}$S
,,,,,AZ-11713908,C$_{27}$H$_{32}$N$_{4}$O$_{3}$S$_{2}$
-112,,181,,,Tetraethyltin,C$_{8}$H$_{20}$Sn
,,,,,JWH-048,C$_{26}$H$_{27}$NO
350,,,,168.9,Niobium(IV) fluoride,NbF$_{4}$
,,,,,Anileridine,C$_{22}$H$_{28}$N$_{2}$O$_{2}$
,,,,,Tinzaparin sodium,C$_{8}$H$_{9}$NO$_{2}$
-63,1.693,93,,,Butyltin trichloride,C$_{4}$H$_{9}$SnCl$_{3}$
,,,,,Remikiren,C$_{33}$H$_{50}$N$_{4}$O$_{6}$S
,,,,,Gadoteridol,C$_{17}$H$_{29}$GdN$_{4}$O$_{7}$
,,,,,Befunolol,C$_{16}$H$_{21}$NO$_{4}$
23-25,,,,,Vernolic acid,C$_{18}$H$_{32}$O$_{3}$
,,,,,Perfosfamide,C$_{7}$H$_{15}$Cl$_{2}$N$_{2}$O$_{4}$P
,,,,214.26,Lunularin,C$_{14}$H$_{14}$O$_{2}$
,,,,,Tositumomab,C$_{6416}$H$_{9874}$N$_{1688}$O$_{1987}$S$_{44}$
,,,,,Matairesinol,C$_{20}$H$_{22}$O$_{6}$
154.5,1.32,,slightly soluble in water,228.312,Thiocarbanilide,C$_{13}$H$_{12}$N$_{2}$S
,,,,,Salmeterol,C$_{25}$H$_{37}$NO$_{4}$
,,,,,Cardanolide,C$_{23}$H$_{36}$O$_{2}$
,,,,,Pimethixene,C$_{19}$H$_{19}$NS
,,,insoluble,,Triphenylphosphine selenide,C$_{18}$H$_{15}$PSe
-5,,229-230,,280.45,Linolelaidic acid,C$_{18}$H$_{32}$O$_{2}$
,,,,,Bretazenil,C$_{19}$H$_{20}$BrN$_{3}$O$_{3}$
,,,,,Chlorisondamine,C$_{14}$H$_{20}$Cl$_{6}$N$_{2}$
,,,,,Tetracycline,C$_{22}$H$_{24}$N$_{2}$O$_{8}$
233-235,,,,226.19,Nitrotyrosine,C$_{9}$H$_{10}$N$_{2}$O$_{5}$
,,,,851.652,Isovaleryl-CoA,C$_{26}$H$_{44}$N$_{7}$O$_{17}$P$_{3}$S
,,,,422.48,Carbethopendecinium bromide,C$_{21}$H$_{44}$BrNO$_{2}$
,7.48,,0.0027,123.87,Silver(I III) oxide,AgO
,,,,,Sunitinib,C$_{22}$H$_{27}$FN$_{4}$O$_{2}$
,,,,,Isocarboxazid,C$_{12}$H$_{13}$N$_{3}$O$_{2}$
,,,,,AMPT,C$_{10}$H$_{13}$NO$_{3}$
,,,,,Gamfexine,C$_{17}$H$_{27}$N
,,,,,Levopropoxyphene,BiH$_{3}$
,1.196,979.883,,,Joro toxin,C$_{27}$H$_{47}$N$_{7}$O$_{6}$
,,,,275.8,Zineb,C$_{4}$H$_{6}$N$_{2}$S$_{4}$Zn
111-113,,263,,136.15,M-Toluic acid,C$_{8}$H$_{8}$O$_{2}$
,,,,,Esreboxetine,C$_{19}$H$_{23}$NO$_{3}$
,,,,,Cyclobutadieneiron tricarbonyl,(C$_{4}$H$_{4}$)Fe(CO)$_{3}$
,,,,,Alpinetin,C$_{16}$H$_{14}$O$_{4}$
